RL_RS32950	-2.556393349	0.001536608
pRL100004	0.286881148	0.34266418
pRL100011	0.056583528	0.83621496
pRL100021	0.895302621	0.000200175
pRL100033	0.070389328	0.61712176
pRL100043	0.40053793	0.010965066
pRL100044	-0.184424571	0.71481436
pRL100059	0.773996325	0.019092616
pRL100060	0.82374936	0.001715854
pRL100075	0.35614381	0.23918398
pRL100077	-2.184424571	3.13551E-05
pRL100084	0.604071324	0.07074351
pRL100088	-0.836501268	0.13048898
pRL100089	-2.184424571	0.004361043
pRL100090	-0.184424571	0.5987909
pRL100092	1.14404637	0.02989127
pRL100093	0.310340121	0.06129226
pRL100094	-1.029146346	0.006520191
pRL100096	0.659924558	0.02208543
pRL100100	-0.234465254	0.21745707
pRL100100A	-0.785875195	0.06764844
pRL100101	0.070389328	0.835462
pRL100104	0.070389328	0.6922855
pRL100106	0.150559677	0.47176766
pRL100110	-0.13606155	0.40062484
pRL100113	0.150559677	0.50999326
pRL100115	0.298658316	0.41134554
pRL100117	0.485426827	0.004794503
pRL100126	0.176322773	0.15590739
pRL100132	-0.915935735	0.053864613
pRL100141	0.464668267	0.13994145
pRL100142	0.97819563	0.005200394
pRL100143	-0.535331733	0.018896194
pRL100146	-1.943416472	0.005740115
pRL100149	-0.058893689	0.8652692
pRL100150	0.485426827	0.19326395
pRL100155	0.495695163	0.59808856
pRL100156	-0.76121314	0.07860839
pRL100157	0	0.98138666
pRL100163	1.86393845	0.04909375
pRL100170	3.195347598	0.02923724
pRL100176	0.925999419	0.036807276
pRL100177	0.321928095	0.23811153
pRL100186	2.416839742	0.01261693
pRL100194	-0.152003093	0.70560324
pRL100204	-0.785875195	0.030671028
pRL100213	-0.286304185	0.22025771
pRL100227	1.286881148	0.007480125
pRL100233	0.713695815	0.07602002
pRL100253	0.632268215	0.050477657
pRL100307	0.432959407	0.008763051
pRL100308	-0.434402824	0.022573804
pRL100310	0.495695163	0.22775675
pRL100317	0.855989697	0.1946774
pRL100323	-0.200912694	0.20304447
pRL100332	-0.168122759	0.52280843
pRL100449	0.344828497	0.38821074
pRL100456	0.333423734	0.42262158
pRL100458	0.286881148	0.4376307
pRL100470	0.014355293	0.9586546
pRL110016	-0.200912694	0.6186416
pRL110094	-0.943416472	0.002481925
pRL110099	-2.321928095	0.001613723
pRL110100	-1.836501268	0.001680157
pRL110104	-1.358453971	0.000665984
pRL110110	0.214124805	0.46943182
pRL110114	-0.251538767	0.3407401
pRL110128	0.782408565	0.008053089
pRL110130	0.5360529	0.04096862
pRL110140	-0.49410907	0.1896651
pRL110141	-0.535331733	0.007388538
pRL110187	0.5360529	0.04266574
pRL110188	0.389566812	0.05510185
pRL110197	0.443606651	0.034881372
pRL110225	-1.058893689	0.000874132
pRL110229	0.722466024	0.00129621
pRL110238	-1.152003093	0.038108967
pRL110250	0.070389328	0.8678423
pRL110257	0.333423734	0.17090331
pRL110257A	4.930737338	0.000602386
pRL110267	3.450221496	0.001085873
pRL110272	-0.689659879	0.009183682
pRL110306	0.22650853	0.462871
pRL110309A	-0.454031631	0.035218023
pRL110311	3.152183419	0.000303364
pRL110317	1.575312331	0.021464568
pRL110317A	0.422233001	0.014744921
pRL110318	0.35614381	0.097203545
pRL110326	0.748461233	0.055719815
pRL110329	0.35614381	0.39169544
pRL110336	-2.64385619	0.000194185
pRL110338	1	0.002182097
pRL110339	0.275007047	0.21684569
pRL110342	0.042644337	0.8613521
pRL110347	-0.736965594	0.001814027
pRL110351A	0.704871964	0.2748629
pRL110354	-1.152003093	0.05574744
pRL110354A	-1.358453971	0.001824626
pRL110354B	0.545968369	0.052076474
pRL110356	0.298658316	0.2776125
pRL110360	0.310340121	0.16067718
pRL110389	0.124328135	0.61528367
pRL110398	-1.514573173	0.002359919
pRL110399	-1.089267338	0.05421326
pRL110424	2.448900951	0.013901546
pRL110497	0.201633861	0.33178046
pRL110521	-1.689659879	0.002496636
pRL110524	0.250961574	0.5034549
pRL110525	0.555816155	0.020068325
pRL110531	2.627606838	0.007065645
pRL110532	0.807354922	0.14306995
pRL110565	1.298658316	0.06699862
pRL110582	0.40053793	0.2283391
